Ticker,Premium,Total_Theta,Total_Margin,Theta_Margin,Prem_Margin,Theta_Prem
AAPL,98660,1181.8,716060,0.001650420355836103,0.13778175013267044,0.011978512061625785
BA,7731,2215.9,359611,0.006161936092055027,0.021498230031895577,0.2866252748674169
BLK,50617.5,1017.0000000000001,386817.5,0.0026291468198827617,0.1308562823553743,0.02009186546154986
BUD,6350,1028,241350,0.004259374352599959,0.026310337683861613,0.16188976377952755
CMG,1752.5000000000002,459.20000000000005,112012.5,0.0040995424617788195,0.01564557527061712,0.26202567760342366
CVX,9597.5,1837.5,570097.5,0.00322313288516438,0.01683483965462048,0.1914561083615525
FB,10495,1251,347795,0.00359694647709139,0.03017582196408804,0.11919961886612673
GS,107255.5,10828.1,2173725.5,0.004981355741559825,0.049341786715939986,0.10095612812396568
IBM,2670.0000000000005,1159,276670,0.004189106155347526,0.009650486138721222,0.43408239700374524
JNJ,15919.999999999998,1232,223120,0.00552169236285407,0.07135173897454283,0.07738693467336684
JPM,4080,504,55380,0.009100758396533045,0.07367280606717226,0.12352941176470589
M,1020,255,14520,0.01756198347107438,0.07024793388429752,0.25
MAR,1100,216,42700,0.0050585480093676815,0.02576112412177986,0.19636363636363635
MCD,3310,490.9999999999999,212510,0.0023104795068467363,0.015575737612347654,0.1483383685800604
MMM,8937.5,592.5,112937.5,0.005246264526840066,0.07913669064748201,0.06629370629370629
NFLX,10340,258,75340,0.003424475710114149,0.13724449163790814,0.024951644100580272
NVDA,26620,2157,198920,0.010843555198069576,0.13382264226824855,0.08102930127723516
PXD,800,696,134e3,0.005194029850746269,0.005970149253731343,0.87
SPY,2555,1736.0000000000002,391955,0.004429079868862497,0.006518605452156497,0.6794520547945206
UAL,31354.999999999996,1670,312255,0.005348192983298907,0.10041472514451329,0.05326104289586989
UNP,4360,808,268360,0.0030108809062453423,0.016246832612908033,0.1853211009174312
WYNN,26985,3449,661585,0.005213237905938013,0.04078840965257677,0.12781174726700018
